idx,x,y,z
419,0.9224064,-0.73836654,1.7697444
420,0.6596006,-0.7810742,1.9565821
421,0.92230535,-0.7374596,1.7692045
422,0.65918005,-0.780762,1.9563478
423,0.92228705,-0.7371854,1.7690877
424,0.6586735,-0.7799735,1.9559407
425,0.92188936,-0.737122,1.7685379
426,0.65884453,-0.7788817,1.9556496
427,0.92070305,-0.7370188,1.7672153
428,0.6607759,-0.7742676,1.954642
429,0.9164238,-0.73441845,1.7645847
430,0.666144,-0.7744824,1.9527268
431,0.9140947,-0.7346928,1.7615396
432,0.91630304,-0.7382305,1.7618358
433,0.92025536,-0.7400505,1.762515
434,0.9204855,-0.73939556,1.7652674
435,0.6420339,-0.7751955,1.8853076
436,0.9198985,-0.73856544,1.7677327
437,0.91832757,-0.73841125,1.7712028
438,0.9157448,-0.7379073,1.77497
439,0.6575389,-0.77980274,1.9168025
440,0.91303784,-0.7361793,1.7782389
441,0.6582363,-0.78318405,1.9228805
442,0.90773714,-0.73231095,1.781589
443,0.6587682,-0.78415316,1.927698
444,0.90235764,-0.7290107,1.7852285
445,0.65822494,-0.78289115,1.9303269
446,0.89915943,-0.72730535,1.7879375
447,0.65758127,-0.7817905,1.9314785
448,0.89661247,-0.728063,1.789523
449,0.65742993,-0.77951384,1.9315759
450,0.8969395,-0.72973967,1.7900033
451,0.6573693,-0.7777868,1.9316155
452,0.8988786,-0.73141915,1.7901728
453,0.65717864,-0.77708185,1.9310396
454,0.9001788,-0.73277783,1.7905151
455,0.657862,-0.7760453,1.9294527
456,0.90199584,-0.732826,1.7902884
457,0.65882695,-0.7746782,1.928213
458,0.90327,-0.73187554,1.7899234
459,0.6582283,-0.7733901,1.9282755
460,0.9027885,-0.7307235,1.790293
461,0.658527,-0.7725867,1.9280121
462,0.9026778,-0.730413,1.7905746
463,0.6589307,-0.77260554,1.9278712
464,0.9029244,-0.7304321,1.7906868
465,0.65997005,-0.7728665,1.9276851
466,0.9037846,-0.729961,1.7905
467,0.6580778,-0.77440286,1.9286379
468,0.90182495,-0.73134303,1.7914917
469,0.6572026,-0.7747761,1.9288822
470,0.90112233,-0.731539,1.7918383
471,0.6598699,-0.77404094,1.9275794
472,0.90383136,-0.73045105,1.7905661
473,0.6615941,-0.77442336,1.9267545
474,0.90559244,-0.7304044,1.7898065
475,0.66035956,-0.7748217,1.9272742
476,0.9043819,-0.73059404,1.7904711
477,0.66086286,-0.7746279,1.9270761
478,0.905416,-0.7303232,1.7899787
479,0.6641534,-0.77467173,1.9254106
480,0.90809023,-0.7302374,1.7886571
481,0.66524625,-0.7752793,1.9249809
482,0.9091445,-0.7311822,1.7880877
483,0.66369474,-0.77583367,1.9256158
484,0.90798855,-0.7324219,1.7885149
485,0.66100234,-0.7758596,1.9265579
486,0.9049076,-0.73175657,1.7898965
487,0.6607781,-0.77518487,1.9262629
488,0.9048317,-0.73001814,1.7895813
489,0.6623786,-0.77496576,1.9254154
490,0.90627295,-0.7299218,1.7885616
491,0.66380537,-0.7748843,1.9245743
492,0.90762234,-0.73019445,1.7876823
493,0.664137,-0.7745679,1.9241912
494,0.9081427,-0.7303123,1.7874339
495,0.6632707,-0.7743298,1.9244089
496,0.9066574,-0.7297182,1.7881019
497,0.6619402,-0.7739886,1.9246268
498,0.9052703,-0.7292454,1.788429
499,0.66210526,-0.7740417,1.9245021
